cell_id,n_points,sightline_mean_of_mean,sightline_mean_of_min,sightline_worst_min,sightline_mean_of_std,sightline_mean_open_fraction
500m_25197_7935,8,11.57313100471939,2.9705944497091767,1.8203895142487454,11.03110365495711,0.14930555555555555
500m_25168_7908,8,20.483406806494756,4.81431762992673,0.0,14.062852668815792,0.4027777777777778
500m_25208_7944,8,22.762592574860513,5.303520003564238,2.8334994871156325,15.287735667855308,0.3958333333333333
500m_25187_7921,8,38.4976201318847,15.412302330993086,4.005011093367858,12.205320853172726,0.8055555555555556
500m_25179_7917,8,16.893242696225485,3.912249114112537,2.2482341403861463,13.426238083801497,0.2951388888888889
500m_25190_7932,8,29.140660662851662,9.982935753150343,4.2905005766501345,14.136548088323352,0.6111111111111112
500m_25209_7945,8,21.949247698190344,5.594079877869321,2.5923507973544773,14.232782443003453,0.39236111111111116
500m_25182_7928,8,11.037591110869133,3.2572527840146424,1.9189004086820056,10.394595591363725,0.14583333333333331
500m_25201_7941,8,14.995194502528612,4.05796197814246,0.0,11.781182514834974,0.23958333333333334
500m_25193_7937,8,25.530331866038843,6.149852352420838,1.268914276214673,14.100001202516491,0.5
500m_25213_7915,8,43.043848954489434,24.8654885973681,4.462905329890726,9.500061352324249,0.8680555555555556
500m_25171_7918,8,24.956968630439142,7.377274251596572,1.559558170860614,14.733700150032309,0.4722222222222222
500m_25174_7923,8,14.45886030205216,3.5095390893937415,1.6657462837017478,12.626458449110002,0.25
500m_25194_7938,8,27.31245686493463,7.3532508884477235,3.0557540294393535,15.73218996049113,0.5208333333333333
500m_25186_7934,8,23.54434228630774,8.763408165388729,0.297723587315634,12.428957211738416,0.4618055555555555
500m_25214_7916,8,25.765416355028943,8.61072633862746,3.201569443590415,13.468410897083388,0.4930555555555556
500m_25217_7921,8,27.895132050090425,5.794017217528548,2.4839358528784596,16.578500987288074,0.5451388888888888
500m_25183_7928,8,17.69567533753896,5.123474760797478,1.6892039692902472,11.579421725130665,0.3402777777777778
500m_25175_7924,8,17.986873963141925,5.190264580639118,2.273569075880619,12.166797648915203,0.32291666666666663
500m_25216_7925,8,17.688566206025374,4.9831225928786695,2.084551380674264,13.181983076727592,0.3055555555555556
500m_25167_7920,8,30.25204525842077,7.985674911412832,1.8455579050349928,15.759704660848943,0.6076388888888888
500m_25195_7902,8,48.169621625557056,40.21334179340852,18.5037845746283,3.3128447895523125,0.9826388888888888
500m_25187_7898,8,14.090931671600703,3.3217738509641075,2.024053377326558,12.72362647752713,0.2013888888888889
500m_25178_7935,8,12.630494795119711,2.648482485390163,1.3939887451076682,11.162719376662269,0.19444444444444445
500m_25197_7948,8,31.45573772932532,10.938660002542964,5.372690378844592,14.27106407920644,0.6805555555555556
500m_25190_7909,8,23.949357730760184,6.444805426421655,1.0304566560213384,12.954639553205663,0.4583333333333333
500m_25209_7922,8,22.873875333721113,6.519246284556747,2.1187133371679363,13.698267716113364,0.4444444444444445
500m_25201_7918,8,33.18255182046421,13.262006642663584,2.5271241296700713,11.98277135964444,0.7361111111111112
500m_25193_7914,8,18.79625661100378,6.034505486975732,2.4675485149741783,12.34750530858915,0.3159722222222222
500m_25170_7930,8,20.926548953502497,6.05806878605233,2.602032570357551,13.650384781149121,0.40625
500m_25182_7941,8,21.494805755357753,7.205844246428729,0.0,11.980406167680965,0.4305555555555556
500m_25202_7919,8,32.993362025524235,13.090636768727261,3.4618082259475376,12.18601419121492,0.7083333333333333
500m_25194_7915,8,37.21038349632305,16.785840189302707,6.875894835157273,12.047452557465409,0.78125
500m_25213_7928,8,12.375760807104502,3.484129103823015,0.6674384695198602,10.944074661156122,0.1701388888888889
500m_25205_7924,8,30.754707073021287,10.481242295373125,3.4467218045485306,14.503392497176176,0.6319444444444444
500m_25171_7931,8,17.047869463519014,4.737464063410734,1.986170513809238,14.042501586865356,0.2743055555555556
